log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,size,date,status,note
build_template_banks_3059589_17.out,mcz_td,build,0:2:13.67,1,13.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz13p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,631774479,2026-04-08,ok,
build_template_banks_3059589_18.out,mcz_td,build,0:2:8.31,1,14.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz14_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,601689923,2026-04-08,ok,
build_template_banks_3059589_19.out,mcz_td,build,0:2:7.5,1,14.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz14p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,570904926,2026-04-08,ok,
build_template_banks_3059589_20.out,mcz_td,build,0:2:3.66,1,15.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz15_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,546758003,2026-04-08,ok,
build_template_banks_3059589_21.out,mcz_td,build,0:2:6.05,1,15.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz15p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,520073425,2026-04-08,ok,
build_template_banks_3059589_22.out,mcz_td,build,0:1:59.34,1,16.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz16_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,498999988,2026-04-08,ok,
build_template_banks_3059589_23.out,mcz_td,build,0:1:55.71,1,16.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz16p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,474920649,2026-04-08,ok,
build_template_banks_3059589_24.out,mcz_td,build,0:1:58.13,1,17.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz17_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,456784810,2026-04-08,ok,
build_template_banks_3059589_25.out,mcz_td,build,0:1:58.91,1,17.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz17p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,435779740,2026-04-08,ok,
build_template_banks_3059589_26.out,mcz_td,build,0:1:59.01,1,18.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz18_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,417572268,2026-04-08,ok,
build_template_banks_3059589_27.out,mcz_td,build,0:1:54.58,1,18.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz18p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,398403447,2026-04-08,ok,
build_template_banks_3059589_28.out,mcz_td,build,0:1:56.29,1,19.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz19_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,383016230,2026-04-08,ok,
build_template_banks_3059589_29.out,mcz_td,build,0:2:2.26,1,19.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz19p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,367770922,2026-04-08,ok,
build_template_banks_3059589_30.out,mcz_td,build,0:1:46.79,1,20.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz20_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,352485759,2026-04-08,ok,
build_template_banks_3059589_31.out,mcz_td,build,0:1:52.23,1,20.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz20p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,337099463,2026-04-08,ok,
build_template_banks_3059589_32.out,mcz_td,build,0:1:49.16,1,21.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz21_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,324869656,2026-04-08,ok,
build_template_banks_3059589_33.out,mcz_td,build,0:1:42.5,1,21.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz21p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,312657813,2026-04-08,ok,
build_template_banks_3059589_34.out,mcz_td,build,0:1:46.6,1,22.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz22_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,296999485,2026-04-08,ok,
build_template_banks_3059589_35.out,mcz_td,build,0:1:40.76,1,22.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz22p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,287743543,2026-04-08,ok,
build_template_banks_3059589_36.out,mcz_td,build,0:1:46.16,1,23.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz23_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,275717053,2026-04-08,ok,
build_template_banks_3059589_37.out,mcz_td,build,0:1:41.32,1,23.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz23p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,263714764,2026-04-08,ok,
build_template_banks_3059589_38.out,mcz_td,build,0:1:47.28,1,24.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz24_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,254585048,2026-04-08,ok,
build_template_banks_3059589_39.out,mcz_td,build,0:1:37.52,1,24.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz24p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,245452196,2026-04-08,ok,
build_template_banks_3059589_40.out,mcz_td,build,0:1:39.73,1,25.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz25_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,236528157,2026-04-08,ok,
build_template_banks_3059589_41.out,mcz_td,build,0:1:41.57,1,25.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz25p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,227215285,2026-04-08,ok,
