log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
build_template_banks_3059589_34.out,mcz_td,build,0:1:46.6,1,22.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_35.out,mcz_td,build,0:1:40.76,1,22.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_36.out,mcz_td,build,0:1:46.16,1,23.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_37.out,mcz_td,build,0:1:41.32,1,23.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_38.out,mcz_td,build,0:1:47.28,1,24.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_39.out,mcz_td,build,0:1:37.52,1,24.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_40.out,mcz_td,build,0:1:39.73,1,25.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_41.out,mcz_td,build,0:1:41.57,1,25.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_42.out,mcz_td,build,0:1:37.15,1,26.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_43.out,mcz_td,build,0:1:39.6,1,26.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_44.out,mcz_td,build,0:1:37.95,1,27.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_45.out,mcz_td,build,0:1:37.96,1,27.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_46.out,mcz_td,build,0:1:36.86,1,28.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_47.out,mcz_td,build,0:1:32.03,1,28.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_48.out,mcz_td,build,0:1:34.05,1,29.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_49.out,mcz_td,build,0:1:31.67,1,29.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_50.out,mcz_td,build,0:1:30.81,1,30.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_51.out,mcz_td,build,0:1:32.92,1,30.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_52.out,mcz_td,build,0:1:27.15,1,31.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_53.out,mcz_td,build,0:1:30.06,1,31.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_54.out,mcz_td,build,0:1:24.63,1,32.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_55.out,mcz_td,build,0:1:26.54,1,32.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_56.out,mcz_td,build,0:1:30.61,1,33.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_57.out,mcz_td,build,0:1:29.21,1,33.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_58.out,mcz_td,build,0:1:25.41,1,34.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_59.out,mcz_td,build,0:1:26.76,1,34.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_60.out,mcz_td,build,0:1:21.41,1,35.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_61.out,mcz_td,build,0:1:22.72,1,35.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_62.out,mcz_td,build,0:1:25.28,1,36.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_63.out,mcz_td,build,0:1:20.37,1,36.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_64.out,mcz_td,build,0:1:18.86,1,37.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_65.out,mcz_td,build,0:1:23.11,1,37.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_66.out,mcz_td,build,0:1:24.26,1,38.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_67.out,mcz_td,build,0:1:22.02,1,38.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_68.out,mcz_td,build,0:1:19.63,1,39.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_69.out,mcz_td,build,0:1:21.69,1,39.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_70.out,mcz_td,build,0:1:23.62,1,40.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_71.out,mcz_td,build,0:1:21.5,1,40.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_72.out,mcz_td,build,0:1:19.65,1,41.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_73.out,mcz_td,build,0:1:22.13,1,41.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_74.out,mcz_td,build,0:1:14.72,1,42.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_75.out,mcz_td,build,0:1:17.86,1,42.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_76.out,mcz_td,build,0:1:17.11,1,43.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_77.out,mcz_td,build,0:1:16.04,1,43.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_78.out,mcz_td,build,0:1:10.16,1,44.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_79.out,mcz_td,build,0:1:12.11,1,44.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_3059589_80.out,mcz_td,build,0:1:14.45,1,45.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_0.out,mcz_td,mismatch,0:0:0.02,1,5.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (bad object header version number); possible runtime issue: Error:
compute_mismatch_3061329_1.out,mcz_td,mismatch,0:0:0.02,1,5.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (bad object header version number); possible runtime issue: Error:
compute_mismatch_3061329_2.out,mcz_td,mismatch,0:0:0.02,1,6.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
compute_mismatch_3061329_3.out,mcz_td,mismatch,0:0:0.02,1,6.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
compute_mismatch_3061329_4.out,mcz_td,mismatch,0:0:0.02,1,7.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
compute_mismatch_3061329_5.out,mcz_td,mismatch,0:0:0.01,1,7.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
compute_mismatch_3061329_6.out,mcz_td,mismatch,0:0:0.02,1,8.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
compute_mismatch_3061329_7.out,mcz_td,mismatch,0:0:0.02,1,8.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
