log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
compute_mismatch_3061329_72.out,mcz_td,mismatch,0:5:34.42,1,41.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_73.out,mcz_td,mismatch,0:5:24.17,1,41.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_74.out,mcz_td,mismatch,0:5:27.44,1,42.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_75.out,mcz_td,mismatch,0:5:9.25,1,42.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_76.out,mcz_td,mismatch,0:5:13.07,1,43.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_77.out,mcz_td,mismatch,0:5:7.31,1,43.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_78.out,mcz_td,mismatch,0:5:18.33,1,44.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_79.out,mcz_td,mismatch,0:5:6.81,1,44.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_80.out,mcz_td,mismatch,0:5:2.56,1,45.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070323_0.out,mcz_td,build,,1,,5.0,8.5,8,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,partial,missing total_time; OSError: Cannot allocate memory; slurmstepd: DUE TO TIME LIMIT; Traceback; Exception in thread; CANCELLED; saved=1/8
build_template_banks_test_3070526_0.out,mcz_td,build,0:3:41.57,1,5.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070526_1.out,mcz_td,build,0:3:26.53,1,6.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070526_2.out,mcz_td,build,0:3:23.25,1,6.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070526_3.out,mcz_td,build,0:3:14.42,1,7.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070526_4.out,mcz_td,build,0:3:2.62,1,7.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070526_5.out,mcz_td,build,0:2:56.93,1,8.0,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
build_template_banks_test_3070526_6.out,mcz_td,build,0:2:51.47,1,8.5,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_test_3070475_0.out,mcz_td,mismatch,0:6:41.77,1,,5.0,8.5,8,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,partial,"processed=1 skipped=7; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048)"
compute_mismatch_test_3070568_0.out,mcz_td,mismatch,,1,,5.5,8.5,7,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,partial,missing total_time; slurmstepd: DUE TO TIME LIMIT; CANCELLED; saved=6/7; incomplete run
compute_mismatch_test_3070807_0.out,mcz_td,mismatch,0:6:2.67,1,8.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
