log_file,type,total_time,mcz,mcz_min,mcz_max,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype
compute_mismatch_3053794_0.out,mismatch,0:5:21.33,40.0,40.0,40.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_1.out,mismatch,0:5:23.17,41.0,41.0,41.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_2.out,mismatch,0:5:21.6,42.0,42.0,42.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_3.out,mismatch,0:5:43.1,43.0,43.0,43.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_4.out,mismatch,0:5:43.6,44.0,44.0,44.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_5.out,mismatch,0:5:36.59,45.0,45.0,45.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_6.out,mismatch,0:5:37.29,46.0,46.0,46.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_7.out,mismatch,0:5:36.29,47.0,47.0,47.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_8.out,mismatch,0:5:32.74,48.0,48.0,48.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_9.out,mismatch,0:5:25.09,49.0,49.0,49.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_10.out,mismatch,0:5:27.3,50.0,50.0,50.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_11.out,mismatch,0:5:17.0,51.0,51.0,51.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_12.out,mismatch,0:5:14.46,52.0,52.0,52.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_13.out,mismatch,0:5:14.72,53.0,53.0,53.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_14.out,mismatch,0:5:9.38,54.0,54.0,54.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_15.out,mismatch,0:5:17.31,55.0,55.0,55.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_16.out,mismatch,0:5:21.06,56.0,56.0,56.0,20,70,51,0,6,61,0,15,151,51,
compute_mismatch_3053794_17.out,mismatch,0:5:21.5,57.0,57.0,57.0,20,70,51,0,6,61,0,15,151,51,
