log_file,pipeline,stage,total_time,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_path,date,status
build_template_banks_2647739_2.out,mcz_td,build,0:1:56.0,52.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_3.out,mcz_td,build,0:1:57.93,53.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_4.out,mcz_td,build,0:1:57.96,54.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_5.out,mcz_td,build,0:1:56.13,55.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_6.out,mcz_td,build,0:1:55.25,56.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_7.out,mcz_td,build,0:1:58.04,57.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_8.out,mcz_td,build,0:1:51.88,58.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_2647739_9.out,mcz_td,build,0:1:47.79,59.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_test_2647741_0.out,mcz_td,build,0:18:34.51,,60.0,69.0,10,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_test_2670378_0.out,mcz_td,build,0:15:57.51,,70.0,79.0,10,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_test_2670390_0.out,mcz_td,build,,,80.0,89.0,10,,,,0,6,61,0,15,151,51,,,,2026-04-03,partial
build_template_banks_test_2670467_0.out,mcz_td,build,0:1:20.51,89.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
build_template_banks_test_2670495_0.out,mcz_td,build,0:1:18.34,90.0,,,,,,,0,6,61,0,15,151,51,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670751_0.out,mcz_td,contour,,,10.0,12.0,3,20,70,,0,6,,0,15,,,,,,2026-04-03,partial
contour_td_mcz_from_banks_test_2670841_0.out,mcz_td,contour,0:17:51.43,,12.0,15.0,4,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670751_1.out,mcz_td,contour,,,14.0,16.0,3,20,70,,0,6,,0,15,,,,,,2026-04-03,partial
contour_td_mcz_from_banks_2670837_0.out,mcz_td,contour,0:7:8.8,16.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_1.out,mcz_td,contour,0:6:48.75,17.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_2.out,mcz_td,contour,0:6:42.68,18.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_3.out,mcz_td,contour,0:6:40.78,19.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_4.out,mcz_td,contour,0:6:48.9,20.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_5.out,mcz_td,contour,0:6:27.45,21.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_6.out,mcz_td,contour,0:6:53.6,22.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_7.out,mcz_td,contour,0:6:26.94,23.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_8.out,mcz_td,contour,0:6:28.96,24.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_2670837_9.out,mcz_td,contour,0:6:42.74,25.0,,,,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_test_2674687_0.out,mcz_td,contour,0:15:58.47,,26.0,29.0,4,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_test_2647795_0.out,mcz_td,contour,1:7:21.63,,30.0,46.0,17,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_test_2655883_0.out,mcz_td,contour,,,47.0,62.0,16,20,70,,0,6,,0,15,,,,,,2026-04-03,partial
contour_td_mcz_from_banks_test_2656049_0.out,mcz_td,contour,0:30:30.67,,62.0,69.0,8,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
contour_td_mcz_from_banks_test_2670570_0.out,mcz_td,contour,1:21:47.66,,70.0,90.0,21,20,70,,0,6,,0,15,,,,,,2026-04-03,ok
