log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_path,date,status,Note
build_template_banks_3132155_23.out,mcz_td,build,0:2:23.0,1,16.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz16p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_24.out,mcz_td,build,0:2:18.72,1,17.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz17_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_25.out,mcz_td,build,0:2:19.58,1,17.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz17p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_26.out,mcz_td,build,0:2:23.8,1,18.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz18_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_27.out,mcz_td,build,0:2:19.73,1,18.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz18p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_28.out,mcz_td,build,0:2:19.16,1,19.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz19_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_29.out,mcz_td,build,0:2:16.57,1,19.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz19p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_30.out,mcz_td,build,0:2:15.91,1,20.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz20_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_31.out,mcz_td,build,0:2:13.88,1,20.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz20p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_32.out,mcz_td,build,0:2:8.23,1,21.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz21_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
