log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,I_min,I_max,I_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
compute_mismatch_I_td_cubes_3137981_10.out,I_td,mismatch,0:5:27.6,1,15,,,,0.2,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p2_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_11.out,I_td,mismatch,0:5:28.51,1,15,,,,0.21,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p21_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_12.out,I_td,mismatch,0:5:24.66,1,15,,,,0.22,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p22_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_13.out,I_td,mismatch,0:5:28.38,1,15,,,,0.23,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p23_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_14.out,I_td,mismatch,0:5:25.87,1,15,,,,0.24,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p24_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_15.out,I_td,mismatch,0:5:42.8,1,15,,,,0.25,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p25_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_16.out,I_td,mismatch,0:5:34.63,1,15,,,,0.26,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p26_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_17.out,I_td,mismatch,0:5:27.99,1,15,,,,0.27,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p27_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_18.out,I_td,mismatch,0:5:26.94,1,15,,,,0.28,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p28_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_19.out,I_td,mismatch,0:5:28.95,1,15,,,,0.29,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p29_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_20.out,I_td,mismatch,0:5:26.13,1,15,,,,0.3,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p3_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_21.out,I_td,mismatch,0:5:34.95,1,15,,,,0.31,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p31_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_22.out,I_td,mismatch,0:5:31.37,1,15,,,,0.32,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p32_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_23.out,I_td,mismatch,0:5:26.22,1,15,,,,0.33,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p33_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_24.out,I_td,mismatch,0:5:29.86,1,15,,,,0.34,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p34_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_25.out,I_td,mismatch,0:5:29.06,1,15,,,,0.35,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p35_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_26.out,I_td,mismatch,0:5:29.74,1,15,,,,0.36,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p36_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_27.out,I_td,mismatch,0:5:30.28,1,15,,,,0.37,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p37_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_28.out,I_td,mismatch,0:5:38.93,1,15,,,,0.38,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p38_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_29.out,I_td,mismatch,0:5:24.6,1,15,,,,0.39,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p39_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_30.out,I_td,mismatch,0:5:36.34,1,15,,,,0.4,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p4_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_31.out,I_td,mismatch,0:5:41.11,1,15,,,,0.41,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p41_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_32.out,I_td,mismatch,0:5:24.74,1,15,,,,0.42,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p42_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_33.out,I_td,mismatch,0:5:31.2,1,15,,,,0.43,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p43_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_34.out,I_td,mismatch,0:5:38.71,1,15,,,,0.44,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p44_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_35.out,I_td,mismatch,0:5:42.37,1,15,,,,0.45,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p45_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_36.out,I_td,mismatch,0:5:40.72,1,15,,,,0.46,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p46_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
