log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
build_template_banks_3055124_21.out,mcz_td,build,0:2:28.55,1,15.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz15p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_22.out,mcz_td,build,0:2:24.74,1,16.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz16_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_23.out,mcz_td,build,0:2:25.24,1,16.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz16p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_24.out,mcz_td,build,0:2:23.38,1,17.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz17_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_25.out,mcz_td,build,0:2:24.07,1,17.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz17p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_26.out,mcz_td,build,0:2:19.92,1,18.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz18_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_27.out,mcz_td,build,0:2:14.61,1,18.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz18p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_28.out,mcz_td,build,0:2:17.77,1,19.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz19_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_29.out,mcz_td,build,0:2:17.31,1,19.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz19p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_30.out,mcz_td,build,0:2:14.44,1,20.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz20_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
