log_file,type,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,Note
build_template_banks_3055124_52.out,build,0:1:49.2,1,31.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_53.out,build,0:1:50.43,1,31.5,,,,,,,0,6,61,0,15,151,51,,ODEintWarning
build_template_banks_3055124_54.out,build,0:1:41.57,1,32.0,,,,,,,0,6,61,0,15,151,51,,ODEintWarning
build_template_banks_3055124_55.out,build,0:1:40.26,1,32.5,,,,,,,0,6,61,0,15,151,51,,ODEintWarning
build_template_banks_3055124_56.out,build,0:1:41.49,1,33.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_57.out,build,0:1:44.7,1,33.5,,,,,,,0,6,61,0,15,151,51,,ODEintWarning
build_template_banks_3055124_58.out,build,0:1:40.22,1,34.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_59.out,build,0:1:38.73,1,34.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_60.out,build,0:1:38.63,1,35.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_61.out,build,0:1:35.23,1,35.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_62.out,build,0:1:34.41,1,36.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_63.out,build,0:1:36.15,1,36.5,,,,,,,0,6,61,0,15,151,51,,ODEintWarning
build_template_banks_3055124_64.out,build,0:1:34.56,1,37.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_65.out,build,0:1:35.08,1,37.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_66.out,build,0:1:34.23,1,38.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_67.out,build,0:1:30.49,1,38.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_68.out,build,0:1:26.73,1,39.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_69.out,build,0:1:26.3,1,39.5,,,,,,,0,6,61,0,15,151,51,,ODEintWarning
build_template_banks_3055124_70.out,build,0:1:27.17,1,40.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_71.out,build,0:1:27.34,1,40.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_72.out,build,0:1:24.7,1,41.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_73.out,build,0:1:23.36,1,41.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_74.out,build,0:1:21.23,1,42.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_75.out,build,0:1:21.06,1,42.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_76.out,build,0:1:19.22,1,43.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_77.out,build,0:1:20.83,1,43.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_78.out,build,0:1:18.59,1,44.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_79.out,build,0:1:17.94,1,44.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3055124_80.out,build,0:1:15.28,1,45.0,,,,,,,0,6,61,0,15,151,51,,
