log_file,type,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,Note
build_template_banks_3132155_58.out,build,0:1:44.47,1,34.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_59.out,build,0:1:41.17,1,34.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_60.out,build,0:1:37.41,1,35.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_61.out,build,0:1:43.84,1,35.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_62.out,build,0:1:37.81,1,36.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_63.out,build,0:1:33.41,1,36.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_64.out,build,0:1:31.06,1,37.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_65.out,build,0:1:32.1,1,37.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_66.out,build,0:1:32.57,1,38.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_67.out,build,0:1:29.73,1,38.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_68.out,build,0:1:28.06,1,39.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_69.out,build,0:1:27.24,1,39.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_70.out,build,0:1:27.5,1,40.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_71.out,build,0:1:26.32,1,40.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_72.out,build,0:1:27.29,1,41.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_73.out,build,0:1:26.12,1,41.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_74.out,build,0:1:22.89,1,42.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_75.out,build,0:1:24.53,1,42.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_76.out,build,0:1:22.54,1,43.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_77.out,build,0:1:21.67,1,43.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_78.out,build,0:1:17.83,1,44.0,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_79.out,build,0:1:18.12,1,44.5,,,,,,,0,6,61,0,15,151,51,,
build_template_banks_3132155_80.out,build,0:1:16.44,1,45.0,,,,,,,0,6,61,0,15,151,51,,
