log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status
build_template_banks_3053672_19.out,mcz_td,build,0:2:28.8,1e-8,30.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz30_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_20.out,mcz_td,build,0:2:22.71,1e-8,31.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz31_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_21.out,mcz_td,build,0:2:24.04,1e-8,32.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz32_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_22.out,mcz_td,build,0:2:21.86,1e-8,33.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz33_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_23.out,mcz_td,build,0:2:19.63,1e-8,34.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz34_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_24.out,mcz_td,build,0:2:18.49,1e-8,35.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz35_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_25.out,mcz_td,build,0:2:17.86,1e-8,36.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz36_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_26.out,mcz_td,build,0:2:18.24,1e-8,37.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz37_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_27.out,mcz_td,build,0:2:16.24,1e-8,38.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz38_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_28.out,mcz_td,build,0:2:14.15,1e-8,39.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz39_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_3053672_29.out,mcz_td,build,0:2:12.56,1e-8,40.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz40_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_test_3053582_0.out,mcz_td,build,,1e-8,,80.0,89.0,10,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,,2026-04-03,partial
build_template_banks_test_3053638_0.out,mcz_td,build,0:2:31.62,1e-8,,89.0,90.0,2,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,,2026-04-03,ok
build_template_banks_test_3053651_0.out,mcz_td,build,0:4:11.05,1e-8,10.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz10_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
build_template_banks_test_3053652_0.out,mcz_td,build,0:18:8.92,1e-8,,70.0,79.0,10,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,,2026-04-03,ok
build_template_banks_test_3053685_0.out,mcz_td,build,0:20:35.58,1e-8,,60.0,69.0,10,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,,2026-04-03,ok
build_template_banks_test_3053697_0.out,mcz_td,build,0:23:59.0,1e-8,,50.0,59.0,10,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,,2026-04-03,ok
build_template_banks_test_3053745_0.out,mcz_td,build,0:27:0.62,1e-8,,40.0,49.0,10,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,,2026-04-03,ok
build_template_banks_test_3053783_0.out,mcz_td,build,0:2:12.22,1e-8,40.0,,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,template_banks_z1e-08_Taman_edgeon,rp_bank_z1e-08_mcz40_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_0.out,mcz_td,mismatch,0:6:54.69,1e-8,10.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz10_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053758_1.out,mcz_td,mismatch,0:6:38.07,1e-8,11.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz11_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
